time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-24 00:00:00+00:00,64.0,4.0,30.0,1.0
2023-08-25 00:00:00+00:00,49.0,2.0,23.0,1.0
2023-08-26 00:00:00+00:00,1.0,1.0,,
2023-08-27 00:00:00+00:00,1.0,1.0,,
2023-08-28 00:00:00+00:00,105.0,4.0,81.0,1.0
2023-08-29 00:00:00+00:00,2.0,2.0,,
2023-08-30 00:00:00+00:00,2.0,2.0,,
2023-08-31 00:00:00+00:00,317.0,4.0,269.0,1.0
2023-09-01 00:00:00+00:00,119.0,2.0,35.0,2.0
2023-09-02 00:00:00+00:00,1.0,1.0,,
2023-09-03 00:00:00+00:00,1.0,1.0,3.0,1.0
2023-09-04 00:00:00+00:00,158.0,2.0,137.0,3.0
2023-09-05 00:00:00+00:00,53.0,2.0,57.0,3.0
2023-09-06 00:00:00+00:00,,,7.0,4.0
